BOROUGH,boro_ID,ComDist,2024-01,2024-02,2024-03,2024-04,2024-05,2024-06,2024-07,2024-08,2024-09,2024-10,2024-11,2024-12,2025-01,2025-02,2025-03,2025-04,2025-05,2025-06
Queens,401,QN01,5.2,3.6,4.4,4,4.4,4.6,4.9,4.7,3.3,4.9,7.2,5.3,5.2,3.3,4.7,11.4,14.4,14.6
Queens,402,QN02,4,2.4,2.8,2.9,3,3,2.5,2.8,2.5,3.4,5.2,4,4.3,3.1,3.8,12.1,14.8,14.5
Queens,403,QN03,1.7,1.5,1.7,1.6,1.8,1.8,1.5,1.9,1.7,2.1,3.4,2.6,2.6,2,2.2,6.4,9,8.3
Queens,404,QN04,1.4,1.1,1.5,1.3,1.5,1.6,1.5,1.7,1.5,1.9,2.4,1.8,1.6,1.3,1.4,7.9,10.1,9.6
Queens,405,QN05,2.8,2.2,2.9,3.4,3.7,3.3,3.4,3.1,3,4.6,7,4.6,3.8,2.6,3.8,16,18.8,18.1
Queens,406,QN06,4.1,2.7,3.9,3.7,5.3,5.1,4,4.9,4.6,6.9,11.7,7.7,4.9,3.8,5.3,11.8,16.5,15.4
Queens,407,QN07,3,2.5,2.6,2.5,3.1,2.5,2.1,2,2.5,3.6,6.4,3.6,2,1.6,2.7,12.8,14.8,11.8
Queens,408,QN08,4.7,4,3.3,3.9,5.1,3.7,3.9,4.1,3.2,5.1,9.7,7.5,4.5,3.6,5,13.5,16.7,13.5
Queens,409,QN09,6.1,4.8,4.7,4.6,5,5.2,4.3,4.7,4.1,6.4,9.9,6.5,4.3,4.1,4.8,14.1,17,16.2
Queens,410,QN10,4.7,2.7,1.4,1.6,2.2,1.8,1.9,1.7,1.8,2.5,4.2,2.6,2.1,2.1,1.6,14,16.8,14
Queens,411,QN11,6.7,5.1,5.4,5.2,6.3,5.4,4.7,5,4.5,7.8,15.1,9,5.3,3.9,6.1,23.3,28.4,26.3
Queens,412,QN12,4.6,3.7,4,5.5,9.3,8.4,6.8,8.1,6.6,8.9,14.2,8.4,4.4,3.2,5.5,10.7,14.9,14.1
Queens,413,QN13,4.2,3.9,2.4,3,3.3,3.2,3.3,2.6,2.3,3.6,6.4,3.7,3,3,3,14.7,15.6,13.6
Queens,414,QN14,5.1,3.1,3.7,3.3,4.9,4.4,3.8,4.6,4,4.4,5.2,3.4,3.5,2.7,3.3,7.5,9.9,8.8
Staten Island,501,SI01,0,0,0,0,0,0,0,0,0,9.1,19,12.2,7.9,5.3,7.6,18.2,20.3,17.1
Staten Island,502,SI02,0,0,0,0,0,0,0,0,0,8.7,18.7,13.3,8.6,6.7,9.1,21.3,23.8,21.5
Staten Island,503,SI03,0,0,0,0,0,0,0,0,0,8.9,17.8,11.3,7.2,6.2,10.1,22.8,24.6,20.6
